code,species,locality,state,type,Municipality,State,Lat,Long
I12279,B_alcatraz,Ilha dos Alcatrazes,SP,island,Ilha dos Alcatrazes,SP,-24.1023,-45.6969
I12280,B_alcatraz,Ilha dos Alcatrazes,SP,island,Ilha dos Alcatrazes,SP,-24.1023,-45.6969
I12281,B_alcatraz,Ilha dos Alcatrazes,SP,island,Ilha dos Alcatrazes,SP,-24.1023,-45.6969
I1673,B_alcatraz,Ilha dos Alcatrazes,SP,island,Ilha dos Alcatrazes,SP,-24.1023,-45.6969
I1675,B_alcatraz,Ilha dos Alcatrazes,SP,island,Ilha dos Alcatrazes,SP,-24.1023,-45.6969
I1676,B_alcatraz,Ilha dos Alcatrazes,SP,island,Ilha dos Alcatrazes,SP,-24.1023,-45.6969
I1677,B_alcatraz,Ilha dos Alcatrazes,SP,island,Ilha dos Alcatrazes,SP,-24.1023,-45.6969
I1485,B_insularis,Ilha da Queimada Grande,SP,island,Ilha da Queimada Grande,SP,-24.4847,-46.6756
I1486,B_insularis,Ilha da Queimada Grande,SP,island,Ilha da Queimada Grande,SP,-24.4847,-46.6756
I1678,B_insularis,Ilha da Queimada Grande,SP,island,Ilha da Queimada Grande,SP,-24.4847,-46.6756
I1679,B_insularis,Ilha da Queimada Grande,SP,island,Ilha da Queimada Grande,SP,-24.4847,-46.6756
I1684,B_insularis,Ilha da Queimada Grande,SP,island,Ilha da Queimada Grande,SP,-24.4847,-46.6756
I1685,B_insularis,Ilha da Queimada Grande,SP,island,Ilha da Queimada Grande,SP,-24.4847,-46.6756
SB0825,B_insularis,Ilha da Queimada Grande,SP,island,Ilha da Queimada Grande,SP,-24.4847,-46.6756
I12290,B_jararaca,Florianopolis,SC,island,Florianópolis,SC,-27.597,-48.549
I12294,B_jararaca,Florianopolis,SC,island,Florianópolis,SC,-27.597,-48.549
I1756,B_jararaca,Florianopolis,SC,island,Florianópolis,SC,-27.597,-48.549
I1761,B_jararaca,Florianopolis,SC,island,Florianópolis,SC,-27.597,-48.549
I1767,B_jararaca,Florianopolis,SC,island,Florianópolis,SC,-27.597,-48.549
I1768,B_jararaca,Florianopolis,SC,island,Florianópolis,SC,-27.597,-48.549
I1773,B_jararaca,Ilha da Moela,SP,island,Ilha da Moela,SP,-24.048604,-46.263651
I7456,B_otavioi,Ilha de Vitoria,SP,island,Ilha de Vitória,SP,-23.74875,-45.0193
I1717,B_sazimai,Ilha dos Franceses,ES,island,Ilha dos Franceses,ES,-20.926485,-40.754154
I1722,B_sazimai,Ilha dos Franceses,ES,island,Ilha dos Franceses,ES,-20.926485,-40.754154
I1723,B_sazimai,Ilha dos Franceses,ES,island,Ilha dos Franceses,ES,-20.926485,-40.754154
I1728,B_sazimai,Ilha dos Franceses,ES,island,Ilha dos Franceses,ES,-20.926485,-40.754154
I1729,B_sazimai,Ilha dos Franceses,ES,island,Ilha dos Franceses,ES,-20.926485,-40.754154
I1731,B_sazimai,Ilha dos Franceses,ES,island,Ilha dos Franceses,ES,-20.926485,-40.754154
I1737,B_sazimai,Ilha dos Franceses,ES,island,Ilha dos Franceses,ES,-20.926485,-40.754154
I1793,B_jararaca,Camacan,BA,mainland,Camacan,BA,-15.419,-39.496
I1795,B_jararaca,Miguel Calmon,BA,mainland,Miguel Calmon,BA,-11.429,-40.595
I1796,B_jararaca,Miguel Calmon,BA,mainland,Miguel Calmon,BA,-11.429,-40.595
I1786,B_jararaca,Ibitirama,ES,mainland,Ibitirama,ES,-20.541,-41.667
I1789,B_jararaca,Ibitirama,ES,mainland,Ibitirama,ES,-20.541,-41.667
I1801,B_jararaca,Linhares,ES,mainland,Linhares,ES,-19.391,-40.072
I1802,B_jararaca,Linhares,ES,mainland,Linhares,ES,-19.391,-40.072
I1228,B_jararaca,Santa Teresa,ES,mainland,Santa Teresa,ES,-19.936,-40.6
I1515,B_jararaca,Vitoria,ES,mainland,Vitória,ES,-20.319,-40.338
I1522,B_jararaca,Vitoria,ES,mainland,Vitória,ES,-20.319,-40.338
I1488,B_jararaca,Barbacena,MG,mainland,Barbacena,MG,-21.226,-43.774
I1621,B_jararaca,Bocaina de Minas,MG,mainland,Bocaina de Minas,MG,-22.168,-44.395
I1235,B_jararaca,Catas Altas,MG,mainland,Catas Altas,MG,-20.075,-43.408
I1690,B_jararaca,Cristina,MG,mainland,Cristina,MG,-22.212,-45.264
I1691,B_jararaca,Cristina,MG,mainland,Cristina,MG,-22.212,-45.264
I1798,B_jararaca,Jequitinhonha,MG,mainland,Jequitinhonha,MG,-16.434,-41.003
I1799,B_jararaca,Jequitinhonha,MG,mainland,Jequitinhonha,MG,-16.434,-41.003
I1619,B_jararaca,Juiz de Fora,MG,mainland,Juiz de Fora,MG,-21.764,-43.35
I1687,B_jararaca,Mariana,MG,mainland,Mariana,MG,-20.378,-43.416
I1784,B_jararaca,Mariana,MG,mainland,Mariana,MG,-20.378,-43.416
I1800,B_jararaca,Marlieria,MG,mainland,Marliéria,MG,-19.712,-42.732
I1624,B_jararaca,Matutina,MG,mainland,Matutina,MG,-19.223,-45.969
I12277,B_jararaca,Nova Lima,MG,mainland,Nova Lima,MG,-19.986,-43.847
I12278,B_jararaca,Nova Lima,MG,mainland,Nova Lima,MG,-19.986,-43.847
I1615,B_jararaca,Patos de Minas,MG,mainland,Patos de Minas,MG,-18.579,-46.518
I1626,B_jararaca,Rio Espera,MG,mainland,Rio Espera,MG,-20.855,-43.474
I1614,B_jararaca,Santa Barbara,MG,mainland,Santa Bárbara,MG,-19.959,-43.415
I1671,B_jararaca,Sao Francisco do Gloria,MG,mainland,São Francisco do Glória,MG,-20.789,-42.268
I1520,B_jararaca,Sao Joao do Manhuacu,MG,mainland,São João do Manhuaçu,MG,-20.394,-42.151
I20937,B_jararaca,Pico do Jabre,PB,mainland,Maturéia,PB,-7.267,-37.351
I1549,B_jararaca,Astorga,PR,mainland,Astorga,PR,-23.233,-51.666
I1805,B_jararaca,Ortigueira,PR,mainland,Ortigueira,PR,-24.208,-50.949
I18351,B_jararaca,Ribeirao Claro,PR,mainland,Ribeirão Claro,PR,-23.194,-49.758
I18362,B_jararaca,Telemaco Borba,PR,mainland,Telêmaco Borba,PR,-24.324,-50.616
I18364,B_jararaca,Telemaco Borba,PR,mainland,Telêmaco Borba,PR,-24.324,-50.616
I1533,B_jararaca,Areal,RJ,mainland,Areal,RJ,-22.231,-43.106
I1526,B_jararaca,Armacao dos Buzios,RJ,mainland,Armação dos Búzios,RJ,-22.747,-41.882
I1528,B_jararaca,Armacao dos Buzios,RJ,mainland,Armação dos Búzios,RJ,-22.747,-41.882
I1603,B_jararaca,Bom Jardim,RJ,mainland,Bom Jardim,RJ,-22.152,-42.419
I1238,B_jararaca,Cabo Frio,RJ,mainland,Cabo Frio,RJ,-22.879,-42.019
I1230,B_jararaca,Cambuci,RJ,mainland,Cambuci,RJ,-21.575,-41.911
I1513,B_jararaca,Nova Friburgo,RJ,mainland,Nova Friburgo,RJ,-22.282,-42.531
I1521,B_jararaca,Nova Friburgo,RJ,mainland,Nova Friburgo,RJ,-22.282,-42.531
I1605,B_jararaca,Petropolis,RJ,mainland,Petrópolis,RJ,-22.505,-43.179
I1517,B_jararaca,Vassouras,RJ,mainland,Vassouras,RJ,-22.404,-43.663
I1653,B_jararaca,Antonio Prado,RS,mainland,Antônio Prado,RS,-28.858,-51.283
I1670,B_jararaca,Antonio Prado,RS,mainland,Antônio Prado,RS,-28.858,-51.283
I1566,B_jararaca,Cachoeira do Sul,RS,mainland,Cachoeira do Sul,RS,-30.039,-52.894
I1650,B_jararaca,Caxias do Sul,RS,mainland,Caxias do Sul,RS,-29.168,-51.179
I1651,B_jararaca,Caxias do Sul,RS,mainland,Caxias do Sul,RS,-29.168,-51.179
I1659,B_jararaca,Machadinho,RS,mainland,Machadinho,RS,-27.567,-51.668
I1663,B_jararaca,Machadinho,RS,mainland,Machadinho,RS,-27.567,-51.668
I1652,B_jararaca,Nova Padua,RS,mainland,Nova Pádua,RS,-29.029,-51.307
I1655,B_jararaca,Nova Petropolis,RS,mainland,Nova Petrópolis,RS,-29.376,-51.114
I1656,B_jararaca,Nova Petropolis,RS,mainland,Nova Petrópolis,RS,-29.376,-51.114
I1657,B_jararaca,Nova Petropolis,RS,mainland,Nova Petrópolis,RS,-29.376,-51.114
I18379,B_jararaca,Nova Petropolis,RS,mainland,Nova Petrópolis,RS,-29.376,-51.114
