sample	species	locality	state	contam	land_type
I12279	alcatraz	Ilha dos Alcatrazes	SP	FALSE	island
I12280	alcatraz	Ilha dos Alcatrazes	SP	FALSE	island
I12281	alcatraz	Ilha dos Alcatrazes	SP	FALSE	island
I1673	alcatraz	Ilha dos Alcatrazes	SP	FALSE	island
I1675	alcatraz	Ilha dos Alcatrazes	SP	FALSE	island
I1676	alcatraz	Ilha dos Alcatrazes	SP	FALSE	island
I1677	alcatraz	Ilha dos Alcatrazes	SP	FALSE	island
I1674	alcatraz	Ilha dos Alcatrazes	SP	TRUE	NA
I1773	germanoi	Ilha da Moela	SP	FALSE	island
I1771	germanoi	Ilha da Moela	SP	TRUE	NA
I1774	germanoi	Ilha da Moela	SP	TRUE	NA
I1775	germanoi	Ilha da Moela	SP	TRUE	NA
I1485	insularis	Ilha da Queimada Grande	SP	FALSE	island
I1486	insularis	Ilha da Queimada Grande	SP	FALSE	island
I1678	insularis	Ilha da Queimada Grande	SP	FALSE	island
I1679	insularis	Ilha da Queimada Grande	SP	FALSE	island
I1684	insularis	Ilha da Queimada Grande	SP	FALSE	island
I1685	insularis	Ilha da Queimada Grande	SP	FALSE	island
I1681	insularis	Ilha da Queimada Grande	SP	TRUE	NA
I1683	insularis	Ilha da Queimada Grande	SP	TRUE	NA
I20937	jabrensis	NA	PB	FALSE	mainland
I1793	jararaca	NA	BA	FALSE	mainland
I1795	jararaca	NA	BA	FALSE	mainland
I1796	jararaca	NA	BA	FALSE	mainland
I1790	jararaca	NA	BA	FALSE	mainland
I1506	jararaca	NA	ES	FALSE	mainland
I1507	jararaca	NA	ES	FALSE	mainland
I1508	jararaca	NA	ES	TRUE	NA
I1786	jararaca	NA	ES	FALSE	mainland
I1789	jararaca	NA	ES	FALSE	mainland
I1801	jararaca	NA	ES	FALSE	mainland
I1802	jararaca	NA	ES	FALSE	mainland
I1791	jararaca	NA	ES	TRUE	NA
I1792	jararaca	NA	ES	TRUE	NA
I1502	jararaca	NA	ES	TRUE	NA
I1503	jararaca	NA	ES	TRUE	NA
I1607	jararaca	NA	ES	TRUE	NA
I1611	jararaca	NA	ES	TRUE	NA
I1612	jararaca	NA	ES	TRUE	NA
I1613	jararaca	NA	ES	TRUE	NA
I1228	jararaca	NA	ES	FALSE	mainland
I1527	jararaca	NA	ES	TRUE	NA
I1515	jararaca	NA	ES	FALSE	mainland
I1522	jararaca	NA	ES	FALSE	mainland
I1488	jararaca	NA	MG	FALSE	mainland
I1621	jararaca	NA	MG	FALSE	mainland
I1235	jararaca	NA	MG	FALSE	mainland
I1690	jararaca	NA	MG	FALSE	mainland
I1691	jararaca	NA	MG	FALSE	mainland
I1798	jararaca	NA	MG	FALSE	mainland
I1799	jararaca	NA	MG	FALSE	mainland
I1525	jararaca	NA	MG	FALSE	mainland
I1619	jararaca	NA	MG	FALSE	mainland
I1687	jararaca	NA	MG	FALSE	mainland
I1784	jararaca	NA	MG	FALSE	mainland
