sample	species	locality	city	state	contam	land_type
I12279	alcatraz	Ilha dos Alcatrazes	São Sebastião	SP	FALSE	island
I12280	alcatraz	Ilha dos Alcatrazes	São Sebastião	SP	FALSE	island
I12281	alcatraz	Ilha dos Alcatrazes	São Sebastião	SP	FALSE	island
I1673	alcatraz	Ilha dos Alcatrazes	São Sebastião	SP	FALSE	island
I1675	alcatraz	Ilha dos Alcatrazes	São Sebastião	SP	FALSE	island
I1676	alcatraz	Ilha dos Alcatrazes	São Sebastião	SP	FALSE	island
I1677	alcatraz	Ilha dos Alcatrazes	São Sebastião	SP	FALSE	island
I1674	alcatraz	Ilha dos Alcatrazes	São Sebastião	SP	TRUE	island
I1773	germanoi	Ilha da Moela	Guarujá	SP	FALSE	island
I1771	germanoi	Ilha da Moela	Guarujá	SP	TRUE	island
I1774	germanoi	Ilha da Moela	Guarujá	SP	TRUE	island
I1775	germanoi	Ilha da Moela	Guarujá	SP	TRUE	island
I1485	insularis	Ilha da Queimada Grande	Itanhaém	SP	FALSE	island
I1486	insularis	Ilha da Queimada Grande	Itanhaém	SP	FALSE	island
I1678	insularis	Ilha da Queimada Grande	Itanhaém	SP	FALSE	island
I1679	insularis	Ilha da Queimada Grande	Itanhaém	SP	FALSE	island
I1684	insularis	Ilha da Queimada Grande	Itanhaém	SP	FALSE	island
I1685	insularis	Ilha da Queimada Grande	Itanhaém	SP	FALSE	island
I1681	insularis	Ilha da Queimada Grande	Itanhaém	SP	TRUE	island
I1683	insularis	Ilha da Queimada Grande	Itanhaém	SP	TRUE	island
I20937	jabrensis	NA	Pico do Jabre	PB	FALSE	mainland
I1793	jararaca	NA	Camacan	BA	FALSE	mainland
I1795	jararaca	NA	Miguel Calmon	BA	FALSE	mainland
I1796	jararaca	NA	Miguel Calmon	BA	FALSE	mainland
I1790	jararaca	NA	Mucugê	BA	FALSE	mainland
I1506	jararaca	NA	Domingos Martins	ES	FALSE	mainland
I1507	jararaca	NA	Domingos Martins	ES	FALSE	mainland
